,top100producturl,price,title,description,productinformation,countreview,weightvalue,weightmeasure,longestest,shortest,median,rank,sales
0,https://www.amazon.com/Kenra-Platinum-Blow-Dry-Spray-6-8-Fluid/dp/B005BEF5EQ/ref=pd_bxgy_194_2/140-8643050-4685636?_encoding=UTF8&pd_rd_i=B005BEF5EQ&pd_rd_r=11cca941-3488-47ed-b0c9-e4ae9407ddf6&pd_rd_w=uJZD7&pd_rd_wg=YmtqZ&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=ZPET1FAP2RY0R6TGNKW9&psc=1&refRID=ZPET1FAP2RY0R6TGNKW9,33.0,"Kenra Platinum Blow-Dry Spray, 6.8-Ounce","Dramatically decreases blow-dry time by 50%
Provides intense heat protection from damage and breakage
Lightweight formulation detangles, smoothes, and softens
Eliminates frizz and resists humidity
Provides long-lasting, healthy looking results","Product details
Size: 6.8-ounce
Product Dimensions: 1.6 x 2.4 x 8.1 inches ; 6.9 ounces
Shipping Weight: 8.6 ounces (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item is not eligible for international shipping. Learn More
ASIN: B005BEF5EQ
UPC: 014926180265 887135511935 885333925189 014926240266 885121237913 602419075596 793379269252
Item model number: 014926180265
Average Customer Review:
2,167 customer reviews
Amazon Best Sellers Rank: #73 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1 in Hair Sprays
Would you like to tell us about a lower price?",2641.0,6.8,ounce,8.1,1.6,2.4000000000000004,73,71 (30 Days Avg)
1,https://www.amazon.com/dp/B07Y3TNT36/ref=sspa_dk_detail_0?psc=1&pd_rd_i=B07Y3TNT36&pd_rd_w=WFAJy&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=GPdhF&pf_rd_r=7VEP54KH7QJB962HNKM6&pd_rd_r=9703faf9-56f8-4092-bd82-e7e74d41b195&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyQVVHNVBJVDFaQ0NZJmVuY3J5cHRlZElkPUEwNDc2OTQ1Mk1VRzQ3OThBU1pKWCZlbmNyeXB0ZWRBZElkPUEwNTk4OTc2MzdWVUxLV0hUN0VCNCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,53.99,"Hot Air Brush, Hair Dryer Brush, One Step Hair Dryer & Volumizer, Curler Combo with Interchangeable Brush Head, Anti-scald Negative Ion Hair Straightener Brush, Low Noise Design","【Interchangeable Brush Head Design】THREE-IN-ONE hot air brush kit includes 1x2 inch brush head for straightening and volumizing, 1x 1-1/2 curly hair brush head, 1x 1 inch curly hair brush head. They are interchangeable to accommodate all your different styling demand. 1000W, 110V.
【4 in 1 Multifunctional】 It is a perfect combination of drying, curling, straightening, and volumizing. 4 in 1 one step hair dryer brush for blow drying and hair styling, easily creates volume in your hair. Efficient & Time Saving for salon blowouts at home.
【Customizable Settings】 3 temperature settings and 2 speed settings are available for flexible styling. Settings can be adjusted for use on all hair types. High heat to thick hair, low heat for fine hair. Easy operation and friendly to beginner.
【Noise Reduction Design】The Romancelink hair dryer brush volumizer has been improved to reduce the noise in use by optimizing the structure of shell, motor, fan assembly and hole array. Let you enjoy the moment of drying and styling.
【Safety Protection】The curling dryer brush adopts temperature controller, thermal cutoff and heating elements with protective function. Provide you safe and comfort experience in use.","Product details
Color: Kit A
Shipping Weight: 1.8 pounds (View shipping rates and policies)
ASIN: B07Y3TNT36
UPC: 778862041058
Average Customer Review:
49 customer reviews
Amazon Best Sellers Rank: #5,375 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#42 in Hot-Air Hair Brushes
Product Warranty: For warranty information about this product, please click here
Would you like to tell us about a lower price?",3.0,1.8,pounds,2.0,2.0,2.0,5375,5 (30 Days Avg)
2,https://www.amazon.com/dp/B07QCN5PB5/ref=sspa_dk_detail_0?psc=1&pd_rd_i=B07QCN5PB5&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVlFWUTcxSFdaS1hLJmVuY3J5cHRlZElkPUEwMzM5MTMxSjBaRjY5RUlXR0szJmVuY3J5cHRlZEFkSWQ9QTA5NTMyNzEzMDU4NTdXUFFJTUY0JndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,32.99,"Growom One Step Hot Air Brush, Hair Dryer, Straightener, Curler, Hair Styler, Designer and Volumizer, with 3 Pcs Black and 3 Pcs Pink Plastic Alligator Hairgrips for All Hairstyles","Convenient Hair Dryer: Comparing with traditional hair dryer, Growom hot-air brush can be used for combing hair while drying the hair by correct heat setting without hurting beautiful hair. Brush design can place the hot-air brush closer to the scalp for lift and save much drying time.
Economical Comb Massager: Saving money on going to massage store and get simple scalp massaged by Growom hot-air brush at home because of Nylon Pin and Tufted bristle design. These designs can continually stimulate hair follicles when you are using Growom hot-air brush.
Creative Technology: Newest ionic technology can reduce frizz, static and the injury from dryer, and keep your hair smooth, silky and shiny.
Ergonomic Design: Oval brush design and tangle-free 360 degrees swivel cord design help you easily design hairstyles without any negative effect from products. Growom one-step hot air brush can dry and design your hair in minutes in outdoor and indoor places.
Beauty Designer Assistant: Growom hot-air brush would be a great assistant and help you design your beautiful hairstyles. Perfectly work for simply curling hair, strengthening hair and smoothing hair.",NA,3.0,1.6,pounds,15.0,3.0,3.0,24332,1 every 2 days (30 Days Avg)
3,https://www.amazon.com/dp/B07Z6S15Z5/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B07Z6S15Z5&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVlFWUTcxSFdaS1hLJmVuY3J5cHRlZElkPUEwMzM5MTMxSjBaRjY5RUlXR0szJmVuY3J5cHRlZEFkSWQ9QTA3MjE0NjMzU09XN1M3M1czM0cxJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,29.5,Beauty Hair Brush Dryer - Hairdryer/Straightener/Blowdryer/Volume/Straightening/Styling - Blow Dryers - Hot Volumizing Hairbrush - Amazing Salon Drying - Hair Blower - Volumize Hair dryer - Pro Styler,"SALON QUALITY HAIR! This professional quality hair dryer brush will bring salon quality hair right to you! Tourmaline Technology helps give you that smooth, silky feeling that you get when you leave the salon! So whether you need this for personal use when you're getting ready, want a high quality hair dryer for when you're on the road, or even if you're a professional hair stylist that needs a new hairdrying brush for work, this is the product you've been looking for!
VERSATILITY AND MULTI-PURPOSE USE! Our high quality hair dryer brush delivers the professional performance you've been looking for! Hair drying, curling, straightening and volumizing can all be achieved with this amazing tool! Give your hair the beautiful shine and volume it deserves! Long hair is no longer difficult to manage or dry with this product. Now you can leave the house with that salon style quality hair every day of the week! Blowdrying your hair can finally be fun and stress free!
HOW IT WORKS! This multipurpose hair dryer brush delivers incredible performance! It has 3 heating and temperature settings allowing you to fine tune performance and helps reduce moisture in your hair for faster hairdrying and less damage to your hair! It uses Tourmaline Technology which is a unique crystal process that produces a high volume of negative ions when combined with infra-red heat to prevent less damage to hair cuticles, creating a smoother, silkier finish!
A WONDERFUL GIFT TO GIVE! Gone are the days of struggling with your long, messy, seemingly unmanageable hair. This high quality hairdrying brush makes everything easy! So why not share this awesome, professional grade dryer with your friends or loved ones? Share the gift of salon quality hair with friends, family, coworkers and whoever else you think should be looking their best all the time! This makes a fantastic gift for anyone looking to take care of their hair while eliminating the hassle!
U.S.A. Design and Testing: While our products are manufactured overseas (let's be honest, what isn't these days..) ALL of our DESIGN AND TESTING was done right here in the United States. Our USA customer service team stands by to provide you with exceptional, lightning quick responses to your every concern. Your satisfaction is our #1 priority.",NA,3.0,1.4,pounds,2.0,2.0,2.0,67600,1 every 5 days (30 Days Avg)
4,https://www.amazon.com/dp/B07S7WFYK7/ref=sspa_dk_detail_6?psc=1&pd_rd_i=B07S7WFYK7&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVlFWUTcxSFdaS1hLJmVuY3J5cHRlZElkPUEwMzM5MTMxSjBaRjY5RUlXR0szJmVuY3J5cHRlZEFkSWQ9QTA5MzAyNDkyMk8yUTdEUVJLWTJTJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,29.99,"Hair Dryer Brush, One Step Hot Air Brush & Volumizer 3-IN-1 Blow Dryer, Hair Straightener and Curler, Salon Negative Ion for Fast Drying Smooth Frizz and Static Hair","【3-IN-1 One Step Hair Dryer Brush】Use it as a blow dryer,hair styler, hair straightener, make your hair curly or wavy and straighten it of course. Perfect for dry as well as wet hair and all hair types.
【Negative Lonic Technology】Negative Ionic technology reduces the build-up of static electricity in the hair, along with tangle-free antistatic bristles, completely eliminates frizz and enhances shine for silky smooth hair.
【Unique Oval Brush Designed】Hair curling & straightening brush is designed with Nylon Pin & Tufted Bristles is ideal for smoothing your hair while round edges create smooth volume and curled ends.The 360° swivel cord allows high flexibility to move freely without the cord becoming tangled and damaged.
【Multiple Heat Settings】3 adjustable heat-levels for different hair types, high heat to thick hair, low heat for fine hair, flexible setting to lock in your beautiful hairstyle.This volumizer can be placed closer to the scalp for lift.
【Money Back Guarantee】the ionic hair brush has a 12-month warranty!If you’re not satisfied with our product, please feel free to contact us, We’ll make it right and process a refund for you.",NA,3.0,1.6,pounds,2.0,2.0,2.0,129143,1 every 29 days (30 Days Avg)
5,https://www.amazon.com/dp/B01AE215DO/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B01AE215DO&pd_rd_w=o522R&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=g3RnR&pf_rd_r=J2Q5JRWBFVHTTBF5SG1N&pd_rd_r=53950e28-b17c-4721-83d2-8bb08d013a7a&smid=A2CVWHWEU4ZVPO&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExM1VCMThQSkRGUFdYJmVuY3J5cHRlZElkPUEwNzI4NDE5Mk9EU1YyM1VLWVVXWSZlbmNyeXB0ZWRBZElkPUEwNTMzMzMzMVhOUVRRMEYxR1BRNCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,23.88,"Cleansing and Makeup Remover Wipes with Vitamin E, 45 Pack (in Organza Bag)",,NA,31.0,6.4,ounce,2.0,2.0,2.0,47190,1 every 3 days (30 Days Avg)
6,https://www.amazon.com/dp/B07WC7BQNX/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B07WC7BQNX&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyRlVSVFhQS0lYR0xWJmVuY3J5cHRlZElkPUEwNDQwMjUxM0RGVVY0UFFGTVFTOSZlbmNyeXB0ZWRBZElkPUExMDQxMDA0OEJHWjREMVJJOEVZJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,25.0,4.2oz Clinique_Dramatically Different Moisturizing Lotion +With Pump (Very Dry to Dry Combination;) 1 Pack,4.2oz Clinique - Dramatically Different Moisturizing Lotion + (Very Dry to Dry Combination; With Pump) 1 Pack,"Product details
Color: 1 Packs
Shipping Weight: 5.6 ounces (View shipping rates and policies)
ASIN: B07WC7BQNX
Average Customer Review:
17 customer reviews
Amazon Best Sellers Rank: #5,924 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#127 in Body Lotions
Product Warranty: For warranty information about this product, please click here
Would you like to tell us about a lower price?",1480.0,5.6,ounce,2.0,2.0,2.0,5924,4 (30 Days Avg)
7,https://www.amazon.com/dp/B0787JFF4Y/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B0787JFF4Y&pd_rd_w=QAGx2&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=4zqwF&pf_rd_r=W2B24GKA340V41AAE51V&pd_rd_r=34ece42c-d11d-4a3b-9ea6-3e91a97512b0&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFRNERTUzZZQjVYNk0mZW5jcnlwdGVkSWQ9QTAyNTMzMTQyQUtBWkc5UFpCSTNRJmVuY3J5cHRlZEFkSWQ9QTAxMDIzNDJWSzhKRFBHRENSNEwmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,24.01,"Crest Pro Health Intense Mouthwash, Clean Mint, 16.8 Fluid Ounce (Pack of 4)","99% Germ Kill with no medicinal taste
Cooling sensation
Keeps teeth clean longer
Freshens breath
Fights plaque & gingivitis","Product details
Size: Pack of 4 | Style Name: Clean Mint
Product Dimensions: 2.4 x 3.7 x 8.8 inches ; 1.34 pounds
Shipping Weight: 5.5 pounds (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B0787JFF4Y
Average Customer Review:
20 customer reviews
Amazon Best Sellers Rank: #79,345 in Health & Household (See Top 100 in Health & Household)
#394 in Mouthwashes
Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service.
Would you like to tell us about a lower price?",239.0,1.34,pounds,8.8,2.4,3.6999999999999993,79345,1 every 10 days (30 Days Avg)
8,https://www.amazon.com/dp/B01LYD4W8J/ref=sspa_dk_detail_10?psc=1&pd_rd_i=B01LYD4W8J&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyNlpTV1JQUk02SFoxJmVuY3J5cHRlZElkPUExMDMxOTEzM0VPODJHSlBHSTIzRiZlbmNyeXB0ZWRBZElkPUEwNjk3MjgzMjdHTDM2UFVYQjVXMiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,24.95,Bright White Smiles - 35% Teeth Whitening Kit - Tooth Gel Whitener and Trays Included - Made in the USA - Ships from Oral Care Dental Laboratory,"COMPLETE AT HOME TEETH WHITENING KIT – Our kit includes everything you need for pearl white teeth and a bright smile. The enamel safe, professional strength premium teeth whitening gel will start making a difference in just minutes. You will be able to see impressive results with our 35% Carbamide Peroxide gel in only 15 minutes or less.
AFFORDABLE TEETH WHITENING – No more expensive teeth whitening sessions. Our kit comes with enough gel for 15 at home treatments. Saving you thousands of dollars.
GREAT VALUE – Five (5) Large 3ml High Quality Gel Tubes (15 treatments) – Two (2) DIY Mouth Trays (1 Set) – Instructions Manual - LED Accelerator Light Sold Separately
SIMPLE and CONVENIENT – Form the trays to fit your teeth in a few minutes and just add gel for a simple and convenient smile make over. You will start noticing results after the very first treatment.
REMOVES COFFEE, WINE, AND TOBACCO STAINS – Get rid of those ugly stains for a younger and healthier smile. You will start noticing results immediately. Our 35% premium quality Carbamide Peroxide gel is the exact same enamel safe formula that your dentist sells for 10x cost. Our kit comes with the trays and instructions. - 100% SATISFACTION GUARANTEED OR YOUR MONEY BACK – Love our complete at home teeth whitening kit or return it for a FULL REFUND.",NA,239.0,2.4,ounce,8.0,1.0,5.0,240545,0 (30 Days Avg)
9,https://www.amazon.com/Philips-Sonicare-DiamondClean-replacement-HX6063/dp/B078BBZQWK/ref=pd_bxgy_194_2/140-8643050-4685636?_encoding=UTF8&pd_rd_i=B078BBZQWK&pd_rd_r=d15dbb72-c403-4efe-b6b3-9d86e9925627&pd_rd_w=X9Csr&pd_rd_wg=rHe7F&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=9F4QZ4JY85DCNW4GMKEX&psc=1&refRID=9F4QZ4JY85DCNW4GMKEX,38.99,"Philips Sonicare DiamondClean replacement toothbrush heads, HX6063/65, BrushSync technology, White 3 pk","SUPERIOR WHITENING: Clinically proven to remove up to 100 percent more stains in 7 days than a manual toothbrush
SPECIAL DESIGN: Clinically proven to prevent new stains from forming with regular use
GENTLE & EFFECTIVE: Soft, densely packed bristles remove surface stains and whiten your teeth, while gently protecting your gums
NO GUESSING: Built in brush head replacement reminder lets you know when to replace your brush head, so you don’t have to remember
BETTER TOGETHER: Get the most from any Sonicare click on handle with genuine Sonicare brush heads that are designed to work together and provide optimal performance","Product details
Color: White | Size: 3 Count
Troubleshooting manual [PDF] | Data sheet [PDF]
Product Dimensions: 1 x 2.4 x 8.7 inches
Shipping Weight: 0.6 ounces (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B078BBZQWK
UPC: 075020072054
Item model number: HX6063/65
Average Customer Review:
409 customer reviews
Amazon Best Sellers Rank: #1,713 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#43 in Replacement Toothbrush Heads
Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service.
Would you like to tell us about a lower price?",808.0,0.6,ounce,8.7,1.0,2.4000000000000004,1713,15 (30 Days Avg)
