number,top100producturl,price,title,description,productinformation,countreview,weightvalue,weightmeasure,longestest,shortest,median,rank,sales
111,https://www.amazon.com/dp/B00NCRE4GO/ref=sspa_dk_detail_11?psc=1&pd_rd_i=B00NCRE4GO&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyQUZHQkw5QzhPM0dNJmVuY3J5cHRlZElkPUEwODQ2NzY3M0ZQM01KN1dNMDhVRSZlbmNyeXB0ZWRBZElkPUEwNzc5NjUyM1YzQUNMMENNRDJVViZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,26.99,TENS 7000 2nd Edition Digital TENS Unit with Accessories,"NEED PRESCRIPTION STRENGTH PAIN RELIEF? A TENS unit muscle stimulator and electric massager that provides pain relief, acts as a muscle massager or shoulder massager, provides carpal tunnel relief, and acts as a muscle relaxer(great for muscle recovery)
OVER 1M TENS 7000 DEVICES SOLD: A consumer over the counter favorite back pain relief device and a leader in physical therapy equipment for providing immediate and lasting drug-free muscle pain relief from back pain, neck pain, tennis elbow, and bursitis
A LEADER SINCE 2008: A 10+ year favorite TENS device among medical professionals for delivering drug-free back pain relief as well as treating common ailments like neck pain, carpal tunnel relief, arthritis, shoulder, knee, elbow, leg and foot pain
GET IMMEDIATE PAIN RELIEF: TENS machine comes with multiple TENS therapy modes that will provide instant muscle pain relief. An electrotherapy machine with everything needed for TENS therapy, a class leader in electric massagers for muscles
DUAL CHANNEL TENS UNIT: The TENS 7000 TENS unit provides TENS therapy and is a muscle stimulator, nerve stimulator, and electric massager with independent dual channels that control four(4) TENS unit pads (electrodes) for targeted pain relief
NOTE: Kindly refer User Manual and Guide before use",NA,10280,1.2,pounds,8.8,2,7.8,4,71 (30 Days Avg)
14,https://www.amazon.com/Probiotics-Formulated-Probiotic-Supplement-Acidophilus/dp/B079H53D2B/ref=zg_bs_hpc_25?_encoding=UTF8&psc=1&refRID=FGXQ7Y3NSYPDWZE3603T,21.73,"Probiotics 60 Billion CFU - Dr. Approved Probiotics for Women, Probiotics for Men and Adults, Natural; Shelf Stable Probiotic Supplement with Organic Prebiotic, Acidophilus Probiotic; 30 Capsules","60 BILLION CFUs MAX STRENGTH: Our probiotic actually contains 60 BILLION CFUs per serving. Other brands claim it, but beware of deception. Some products say ""equivalent to"" or do not state an amount of CFUs. We saw a need for high-quality supplements that actually work and stand by their claims. Our most popular probiotic brings you exactly what's on the label with 10 probiotic strains, 60 Billion CFU, and an organic prebiotic blend.
PROBIOTICS and ORGANIC PREBIOTICS: Our DOCTOR-APPROVED probiotics are made with prebiotics and probiotics based on clinical research. A complete probiotic supplement for ultimate digestive health. Made with 10 probiotic strains & professional grade NON-GMO ingredients. Shelf-stable vegan probiotics with NO: binders, soy, gluten, milk, egg, wheat, peanuts, shellfish or preservatives.
100% NATURAL PROBIOTIC SUPPLEMENT: Contains 10 strains plus a PATENTED SHELF-STABLE bottle which ensures product stability. Our probiotic daily blend plus organic prebiotic fiber blend naturally helps to support the stomach's digestive environment and supports the natural stomach balance. Great for gut health, gas relief, bloating relief, constipation, leaky gut, digestive health, weight loss, immune system and intestinal health.
BEST PROBIOTICS FOR ADULTS: Our prebiotics and probiotics are effective and intended for use by adults. Acidophilus probiotic with prebiotic including 10 strains: Lactobacillus acidophilus (La-14), Lactobacillus casei (Lc-11), Lactobacillus paracasei (Lpc-37), Lactobacillus salivarius (Ls-33), Lactobacillus plantarum (Lp-115), Bifidobacterium lactis (Bl-04), Bifidobacterium bifidum (Bb-02), Bifidobacterium longum (Bl-05), Bifidobacterium breve (Bb-03), Lactobacillus bulgaricus (Lb-87).
SAFETY ASSURED STANDARD OF QUALITY: Our 60 Billion Probiotic is 3rd-party tested for purity and manufactured in the USA using imported and domestic ingredients in an FDA & cGMP-certified registered facility. Our probiotics are for women and men. They contain 60 Billion CFUs, more than the usual 50 Billion CFU, plus our standard organic prebiotic blend!",NA,6416,2.4,ounce,3.8,2.2,2.2,25,71 (30 Days Avg)
42,https://www.amazon.com/dp/B079H53D2B/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B079H53D2B&pd_rd_w=S3H3C&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=phG2L&pf_rd_r=TZT02YCK6T9X7ET2B8E6&pd_rd_r=3b121e37-73cf-421d-9516-b7ada9f70457&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUE3WjZBUElNOUFOUjAmZW5jcnlwdGVkSWQ9QTEwMzgzNTkxNkNaVFI1MU1XUldCJmVuY3J5cHRlZEFkSWQ9QTA5MTcwMDgxRU1LTFMyUjdSQjBOJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,21.73,"Probiotics 60 Billion CFU - Dr. Approved Probiotics for Women, Probiotics for Men and Adults, Natural; Shelf Stable Probiotic Supplement with Organic Prebiotic, Acidophilus Probiotic; 30 Capsules","60 BILLION CFUs MAX STRENGTH: Our probiotic actually contains 60 BILLION CFUs per serving. Other brands claim it, but beware of deception. Some products say ""equivalent to"" or do not state an amount of CFUs. We saw a need for high-quality supplements that actually work and stand by their claims. Our most popular probiotic brings you exactly what's on the label with 10 probiotic strains, 60 Billion CFU, and an organic prebiotic blend.
PROBIOTICS and ORGANIC PREBIOTICS: Our DOCTOR-APPROVED probiotics are made with prebiotics and probiotics based on clinical research. A complete probiotic supplement for ultimate digestive health. Made with 10 probiotic strains & professional grade NON-GMO ingredients. Shelf-stable vegan probiotics with NO: binders, soy, gluten, milk, egg, wheat, peanuts, shellfish or preservatives.
100% NATURAL PROBIOTIC SUPPLEMENT: Contains 10 strains plus a PATENTED SHELF-STABLE bottle which ensures product stability. Our probiotic daily blend plus organic prebiotic fiber blend naturally helps to support the stomach's digestive environment and supports the natural stomach balance. Great for gut health, gas relief, bloating relief, constipation, leaky gut, digestive health, weight loss, immune system and intestinal health.
BEST PROBIOTICS FOR ADULTS: Our prebiotics and probiotics are effective and intended for use by adults. Acidophilus probiotic with prebiotic including 10 strains: Lactobacillus acidophilus (La-14), Lactobacillus casei (Lc-11), Lactobacillus paracasei (Lpc-37), Lactobacillus salivarius (Ls-33), Lactobacillus plantarum (Lp-115), Bifidobacterium lactis (Bl-04), Bifidobacterium bifidum (Bb-02), Bifidobacterium longum (Bl-05), Bifidobacterium breve (Bb-03), Lactobacillus bulgaricus (Lb-87).
SAFETY ASSURED STANDARD OF QUALITY: Our 60 Billion Probiotic is 3rd-party tested for purity and manufactured in the USA using imported and domestic ingredients in an FDA & cGMP-certified registered facility. Our probiotics are for women and men. They contain 60 Billion CFUs, more than the usual 50 Billion CFU, plus our standard organic prebiotic blend!",NA,10,2.4,ounce,3.8,2.2,2.2,25,71 (30 Days Avg)
23,https://www.amazon.com/Amazon-Family-Baby-Registry-Welcome/dp/B00N1NBOV2/ref=zg_bs_hpc_31?_encoding=UTF8&psc=1&refRID=WWVNTDJR4RWF4Q8GF8SD,59.59,Baby Registry Welcome Box,"The Welcome Box is only available while supplies last.
Please see the product description to learn more.
Thank you for your reviews!
We hope you love the samples and your Amazon Baby Registry!
The box is completely a surprise and the contents and monetary value will vary.",NA,1453,1.9,pounds,2,2,2,31,71 (30 Days Avg)
40,https://www.amazon.com/Garden-Life-Formulated-Probiotics-Guaranteed/dp/B00Y8MP4G6/ref=zg_bs_hpc_53?_encoding=UTF8&psc=1&refRID=V4AY6VSDAFPN9764CJ7M,26.45,"Garden of Life Dr. Formulated Probiotics for Women, Once Daily Women’s Probiotics, 50 Billion CFU Guaranteed, 16 Strains, Shelf Stable, Gluten Dairy & Soy Free One a Day, Prebiotic Fiber, 30 Capsules","DIGESTION SUPPORT: This once daily probiotic supplement contains Lactobaccilus acidophilus and Bifidobacteria for digestive health and constipation relief
PROBIOTICS FOR WOMEN: Specially formulated probiotic for women's specific health needs contains L. reuteri and L. fermentum for vaginal health
IMMUNE SUPPORT: This dietary supplement has 50 billion CFU and 16 probiotics for immune system health
SHELF STABLE PROBIOTICS: This 50 billion probiotics supplement comes in 30 one daily capsules; no refrigeration required
HYPOALLERGENIC PROBIOTIC: Our probiotic is dairy free, gluten free, soy free, and vegetarian","Product details
Style: Women
Product Dimensions: 2.3 x 2.3 x 4.6 inches ; 2.56 ounces
Shipping Weight: 3.2 ounces (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B00Y8MP4G6
UPC: 658010118323
Item model number: 0658010118323
Average Customer Review:
2,068 customer reviews
Amazon Best Sellers Rank: #53 in Health & Household (See Top 100 in Health & Household)
#16 in Sales & Deals
#2 in Probiotic Nutritional Supplements
Would you like to tell us about a lower price?",2662,2.56,ounce,4.6,2.3,2.3,53,71 (30 Days Avg)
114,https://www.amazon.com/dp/B0055OUOQQ/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0055OUOQQ&pd_rd_w=ZSZlz&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=lzgKu&pf_rd_r=JRY5QHEB5AS3145CEQ1Y&pd_rd_r=79deda12-75de-4833-8139-f75e6ae58982&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzVFNPSUVMVVNTTlJXJmVuY3J5cHRlZElkPUEwNjEyNDkyMllLM1ZCSkdOTDM3JmVuY3J5cHRlZEFkSWQ9QTAwNDA5MjEyS0RDSU9ETzA4NU9HJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,25.92,"Qunol Ultra CoQ10 100mg, 3x Better Absorption, Patented Water and Fat Soluble Natural Supplement Form of Coenzyme Q10, Antioxidant for Heart Health, 120 Count Softgels","3X BETTER ABSORPTION THAN REGULAR [2] CoQ10 — Clinical trials have proven that no other CoQ10 supplement absorbs better than Qunol. In fact, Qunol Ultra absorbs 3X better than regular [2] CoQ10.
#1 CARDIOLOGIST RECOMMENDED FORM OF COQ10* — With superior absorption compared to regular [2] CoQ10, Qunol 100mg CoQ10 softgel capsules can help you reach optimal levels of Coenzyme Q10 sooner, so you can experience the potential benefits faster.
100% WATER AND FAT-SOLUBLE — Qunol CoQ10’s patented formulation is 100% water and fat-soluble, unlike regular [2] CoQ10 that does not dissolve in water and dissolves very poorly in fat.
BENEFICIAL TO STATIN DRUG USERS — Statin medications have been shown to lower CoQ10 levels by as much as 40% [3] and the addition of a CoQ10 supplement to statin drug therapy can help rebuild CoQ10 levels.
ESSENTIAL FOR ENERGY PRODUCTION — CoQ10 plays a vital role in the production of energy in the body. Taking a CoQ10 supplement helps increase natural CoQ10 levels that can be depleted by age and cholesterol-lowering statin medications [4].","Product details
Size: 120 Count | Style: Softgels
Product Dimensions: 2.8 x 5.2 x 5.8 inches ; 7.7 ounces
Shipping Weight: 8 ounces (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B0055OUOQQ
UPC: 898440001165
Item model number: QULT120
Average Customer Review:
2,669 customer reviews
Amazon Best Sellers Rank: #194 in Health & Household (See Top 100 in Health & Household)
#67 in Sales & Deals
#2 in CoQ10 Nutritional Supplements
Would you like to tell us about a lower price?",95,7.7,ounce,5.8,2.8,5.2,194,71 (30 Days Avg)
16,https://www.amazon.com/dp/B00N1G17GG/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B00N1G17GG&pd_rd_w=pSHAm&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=VglDR&pf_rd_r=XD7MABDPQBPWYJN986PN&pd_rd_r=2fbab8e3-27fd-4018-a8ed-3196fb3616ee&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFJRE80Q0Q5NFQ3OVYmZW5jcnlwdGVkSWQ9QTA2ODI3NjQyWlk4WTVIUVRPOENaJmVuY3J5cHRlZEFkSWQ9QTA1NDcwMzlIUE1GWDNRMElNNkwmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,29.87,"60 Day Supply – Earth’s Pearl Probiotic & Prebiotic – for Women, Men and Kids - Advanced Digestive Gut Health and Enzyme Support - One a Day Pearls - Billions of Live Cultures","PROBIOTIC & PREBIOTIC FORMULA: Probiotics are beneficial bacteria that are found in specific foods or supplements, while prebiotics are types of fiber that feed friendly bacteria already in the digestive system. Essentially, the FOS Prebiotic in these Pearl supplements help the good bacteria that your digestive tract needs to fire on all cylinders, providing you with balanced protection and relief.
EASES DIGESTIVE DISTRESS: These supplements are specifically designed to provide relief from bloating and gas pain and are also formulated to help prevent future problems from arising. Additionally, these pearls are designed to provide time-released relief, so you can simply take 1 in the morning and feel relief throughout the entire day.
BENEFICIAL BACTERIA: Did you know there is such a thing as healthy gut bacteria? It’s true! Gut healthy microbiota plays a few important roles, including crowding out unhealthy bacteria, increasing the absorption of minerals, and improving overall health. The bifidobacterium are the major genera of bacteria that make up the GI tract and are one of the main ingredients present in this supplement.
INNOVATIVE PEARL DESIGN: The innovative pearl form has the texture of a “Smarties” candy. Suck on it for a few seconds to make it incredibly easy to swallow. It also makes them 15 times more effective than your average capsule because it delivers 15 times more live bacteria directly to the source (intestinal tract). Our pearl probiotics are one of a kind because the delivery systems of this design acts like no other can.
WHO WE ARE: Here, at Earth’s Pearl, we understand that every “body” is different, that is why we offer a 365 Day Money Back Guarantee, because we have found that what works for one may not always work for another. So much in our bodies relies on the function of our gastrointestinal tracts. That’s why we are dedicated to providing probiotics for all stages of life, so everyone can have a healthy digestive system, and by extension, a healthy body.",NA,1651,1.6,ounce,3.5,1.7,1.7,607,38 (30 Days Avg)
63,https://www.amazon.com/dp/B0098U0SQO/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B0098U0SQO&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWk5SWEtBR0dZN1BLJmVuY3J5cHRlZElkPUEwMjExMDYxMjQ4RlJFNTVFQkJXSiZlbmNyeXB0ZWRBZElkPUEwMjY1NzY2MlhGODBPQkxNTTYwViZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,37.99,"Garden of Life Vitamin B Complex - Vitamin Code Raw B Vitamin Whole Food Supplement, Vegan, 120 Capsules","B COMPLEX VITAMINS: Our vitamin b complex provides mental and physical energy, supports blood health, heart health, immune system health and healthy stress response
ENERGY SUPPLEMENT: Use our b complex with vitamins B1, B2, B3, B5, B6, B 12, folate and biotin to bump up energy and support metabolism and stress response
HEART HEALTH: Combine our b vitamin complex, containing 400mcg (100percentageDV) of folate with vitamins B6 and B 12 for a healthy heart
PROBIOTICS AND ENZYMES: Our plant based b complex includes a RAW probiotic and enzyme blend for digestive support and vegetable blend for additional nutritional support
VEGAN B COMPLEX: Our real food vegan b complex is RAW, Gluten Free, Dairy Free and non GMO with No Binders or Fillers","Product details
Size: 120 Count
Product Dimensions: 2.8 x 2.8 x 5.2 inches ; 11.2 ounces
Shipping Weight: 11.2 ounces (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B0098U0SQO
UPC: 885260286384 885260411182 658010116503 885810223494 301653930516 885400387551 885707186260 885376793387
Item model number: 102005
Average Customer Review:
1,132 customer reviews
Amazon Best Sellers Rank: #721 in Health & Household (See Top 100 in Health & Household)
#291 in Sales & Deals
#5 in Vitamin B-Complex Supplements
Would you like to tell us about a lower price?",155,11.2,ounce,5.2,2.8,2.8,721,31 (30 Days Avg)
77,https://www.amazon.com/dp/B006R76WK2/ref=sspa_dk_detail_5?psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExQjBaWE5aWFBRNk8zJmVuY3J5cHRlZElkPUEwNTA2MjAwMURLMjExOUZQMEJBTiZlbmNyeXB0ZWRBZElkPUEwMjIxMzM3Mk9TSTlOTEJVMThJQSZ3aWRnZXROYW1lPXNwX2RldGFpbDImYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,34.33,"OPTIMUM NUTRITION ESSENTIAL AMINO ENERGY, Concord Grape, Keto Friendly BCAAs, Preworkout and Essential Amino Acids with Green Tea and Green Coffee Extract, 65 Servings","Amino blend a perfectly blended mix of amino acids to aid in muscle recovery
Energy blend with 100 milligram of caffeine coming from green tea and/or green coffee extracts to supply you with a boost of energy to help you get through the day or a grueling workout
Mental focus don’t allow the day to get the best of you, the unique formula in essential amino energy helps provide you with the mental focus you need
Any time formula this unique formula is perfect for any time of the day such as helping you get energized and focused in the morning, helping to stay focused and productive in the afternoon, or even supporting your energy levels and focus in the gym
5 calories per serving. 1 gram of carbs. No sugar. 10 plus delightful flavors to choose from. Also check out our new essential amino energy and electrolytes","Product details
Flavor: Concord Grape | Size: 65 Servings
Product Dimensions: 4.9 x 4.9 x 6.9 inches ; 1.29 pounds
Shipping Weight: 1.6 pounds (View shipping rates and policies)
Domestic Shipping: Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B006R76WK2
UPC: 748927022940 701569283650 885221992293 776115155941 882796216229 884909441344
Item model number: 1043712
Average Customer Review:
2,113 customer reviews
Amazon Best Sellers Rank: #800 in Health & Household (See Top 100 in Health & Household)
#316 in Sales & Deals
#1 in Branched Chain Amino Acids Nutritional Supplements
Would you like to tell us about a lower price?",91,1.29,pounds,6.9,4.9,4.9,800,30 (30 Days Avg)
91,https://www.amazon.com/dp/B004JO5KYO/ref=sspa_dk_detail_0?psc=1&pd_rd_i=B004JO5KYO&pd_rd_w=FJ8bu&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=BfRsa&pf_rd_r=NNFA0JZ2S9V1BAG2X8H1&pd_rd_r=e1ed0820-e0de-4e80-8004-ee2437115a5c&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFNR1hGNkZCVFVISVAmZW5jcnlwdGVkSWQ9QTA0MTY3NTEyRzdCOVRDM1lPTk9aJmVuY3J5cHRlZEFkSWQ9QTA3NDcwNjEyNFZMTFJBVjFTM0xaJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,31.29,"Nature's Bounty Fish Oil 1200 mg Twin Packs, 180-Count per bottle (360 Total Count) Rapid Release Liquid Softgels","OMEGA 3S: Each serving of Nature's Bounty Fish Oil 1200 milligram soft gels contains 360 milligram of Omega 3s. Nature's Bounty Omega 3s are comprised of EPA and DHA that helps support and maintain the health of your cardiovascular system.* This odorless formula is held to the highest purity and potency standards
HEALTHY HEART AND METABOLISM: Omega 3 fatty acids, like those in Nature's Bounty Fish Oil, are considered “good” fats important for cellular health, heart health and metabolic health and can help maintain triglyceride levels already within a normal range
HEART HEALTH: Nature's Bounty provides heart health support for you to be your healthy best.* Nature's Bounty Fish Oil is just part of the line of heart health supplements offered to support your health and your body
NATURE'S BOUNTY, BETTER OFF HEALTHY: Health conscious people have trusted Nature’s Bounty products for decades. Our dedication to quality, consistency, and scientific research has resulted in vitamins and nutritional supplements of unrivaled excellence
COMPARE NATURE'S BOUNTY products to Bixa Botanical, Na'trition, Women's Health Network, Organic India, Vimerson Health, Zhou, New Chapter, Baetea, Nature's Way, BioScience Nutrition, Nature's Secret, Bio Schwartz, Health Concerns, Nested, Havasu, and OHCO",NA,84,1.6,pounds,6.3,3.2,6.1,819,30 (30 Days Avg)
