,top100producturl,price,title,description,productinformation,countreview,weightvalue,weightmeasure,longestest,shortest,median
0,https://www.amazon.com/Petstages-Tower-Tracks-Cat-Toy/dp/B00DT2WL26/ref=zg_bs_pet-supplies_2?_encoding=UTF8&psc=1&refRID=MFJAGG6VP88JHJD2NVEQ,23.99,"Petstages Cat Tracks Cat Toy - Fun Levels of Interactive Play - Circle Track with Moving Balls Satisfies Kitty’s Hunting, Chasing & Exercising Needs","BALLS SPIN & ROLL: This addictive, interactive cat toy is designed with 3 levels of tracks and 3 brightly colored moving balls to attract kitty’s attention!
3 TIER TOWER: With a stacked and sturdy construction, this multi-level circle track cat toy is durably built with a closed top and non-slip base to hold the cat track and ball toy in place.
BAT AND CHASE: Perfect for one or more cats, the interactive Tower of Tracks cat toy stimulates kitties’ senses and satisfies hunting instincts with an exciting moving puzzle.
INTERACTIVE FUN: Ideal for play, the cat ball track is also a great way to bond with your kitten – spin the balls to get them moving, then bat them to your cat!
MENTAL & PHYSICAL FUN: Get your kitty active! This indoor interactive cat track toy is a great way to help your cat get active with much needed daily exercise and excitement.","Product details
Style: Tower of Tracks
Product Dimensions: 9.8 x 9.8 x 6 inches ; 9.6 ounces
Shipping Weight: 11.2 ounces (View shipping rates and policies)
Domestic Shipping: Item can be shipped within U.S.
International Shipping: This item can be shipped to select countries outside of the U.S. Learn More
ASIN: B00DT2WL26
Item model number: 317
Average Customer Review:
6,924 customer reviews
Amazon Best Sellers Rank: #2 in Pet Supplies (See Top 100 in Pet Supplies)
#1 in Cat Toy Balls
Would you like to tell us about a lower price?",7641.0,1.0,ounce,9.8,6.0,9.8
1,https://www.amazon.com/dp/B07N5HLB7Y/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B07N5HLB7Y&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzMU9YUlFZT0dMUEhCJmVuY3J5cHRlZElkPUEwMTczMDc1M0gyNDFRQUdVS1RJVyZlbmNyeXB0ZWRBZElkPUEwMTE4OTQwUDdBVFM5QUs0T0JJJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,26.99,"Dentleys Traditional 3"" Rawhide Knotted Bones Dog Treats - Small","Dogs love sinking their teeth into Dentley's Rawhide Knotted Bones.
Our bold flavors satisfy their taste buds and their instinctive urge to chew.
These long-lasting chews not only keep your best friend busy, but through abrasive chewing, they help keep their teeth clean, too.",NA,3.0,1.2,pounds,2.0,2.0,2.0
2,https://www.amazon.com/dp/B076FJYG3Y/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B076FJYG3Y&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzMU9YUlFZT0dMUEhCJmVuY3J5cHRlZElkPUEwMTczMDc1M0gyNDFRQUdVS1RJVyZlbmNyeXB0ZWRBZElkPUEwMDMzMzc3N0syOTVMOFBYTkpHJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,26.28,K9 Pro Mint Sticks Dog Dental Chews - 30 Premium Teeth Cleaning Natural Peppermint Chew Treats Dogs Love. Best for Oral Hygiene Care Prevents Bad Breath Reduces Plaque and Tarter Buildup,"CHEAP STORE BRANDS JUST DON'T MATCH UP - Compare our natural ingredients and complex proprietary formula and you will see the big store brands don't have effective dog breath and teeth cleaning ingredients to get the job done
FRESHENS BREATH AND CLEANS TEETH - Our ""Complex Oral Care"" Unique proprietary formula of natural ingredients is proven to reduce bad breath and tarter that neutralize sulfur compounds from oral bacteria that cause bad breath
PROVEN TO REDUCE PLAQUE AND TARTER BUILDUP - Our special dog breath treats formula of SHM and SCC compounds can actually reduce tarter and plaque as well as prevent further buildup
GREAT TASTING MINT FLAVOR FOR SMALL MEDIUM AND LARGE DOGS - ALL BREEDS - Our Star shaped dog dental sticks help protect the health of your pup from puppies to senior your doggie will appreciate it. Our dog dental treats are natural premium food products - The dog dental treats are soft stick shaped bones formatted in a star cross shape to improve your dogs overall hygiene
VETERINARIAN APPROVED & MADE IN THE USA - Hypo-Allergenic, Low Sodium, Wheat and Gluten Free - and like all of our premium products - Are 100% Satisfaction Guaranteed",NA,3.0,1.0,ounce,5.2,4.6,4.599999999999999
3,https://www.amazon.com/dp/B07MR4HS9G/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B07MR4HS9G&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyNTRVNE01Wkc2SFdWJmVuY3J5cHRlZElkPUEwNTI4MjcyMUZUQ1JDWkxVMjQ0QyZlbmNyeXB0ZWRBZElkPUEwNzg2NzUwMjFBUjhDS05DMklGNiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,21.99,"Fairywill Teeth Whitening Strips for Sensitive Teeth - Reduced Sensitivity Whitener strips, Gentle and Safe for Enamel, 3D Whitestrips Pack of 28 White Strips",,NA,1191.0,1.0,ounce,2.0,2.0,2.0
4,https://www.amazon.com/dp/B07S6446XZ/ref=sspa_dk_detail_9?psc=1&pd_rd_i=B07S6446XZ&pd_rd_w=aoQBy&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=yxvgR&pf_rd_r=3F5N6CJHGM7FMBWHEW2T&pd_rd_r=079e4fe4-05ba-4eb8-a5f1-e217b994c9f6&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExM05ZNFdBTTZPQkdCJmVuY3J5cHRlZElkPUEwMzkwOTU3M09NVVdKOERUR1VYRCZlbmNyeXB0ZWRBZElkPUEwMTkzMzExMTZPMEJSOVc3TUVUNCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,45.95,"Love To Train Dog Training Collar with Remote –1600’ Long-Range Training Collar for Small, Medium, and Large Dogs – Waterproof Dog Collar for All Breeds","BECOME A PROFESSIONAL TRAINER – Are you eager to train your furry friend but don’t know where to start? Love to Train’s dog training collar helps you teach Fido right away! Effortlessly train your dog to respond to your every request with this easy-to-use LCD remote controlled collar for dogs!
TRAINING RAIN OR SHINE – Your pup stops for no one, and now neither does their training! These training collars for dogs are waterproof for up to 1-meter depth, so even if you and your dog are enjoying a game of fetch at the beach, you will remain in charge!
NEVER-ENDING TRAINING – Train your dog no matter how far they wander with this vibrating dog collar’s outrageously long range of 1600 ft. After-hours training is also possible with the glow-in-the-dark buttons on the remote!
FREE GIFT – No canine will be left out with Love to Train’s e collars for dogs! This dog collar with remote allows you to train two dogs at once, and we even include a FREE extra collar so you can train all your furry friends!
LIFETIME WARRANTY – Training is a lifelong adventure, so you’ll need a dog training collar that lasts. You’re guaranteed to receive the most effective vibrating dog collar on the market that’s also easy to use. Love to Train’s lifetime warranty ensures it!","Product details
Size: Remote with 1 receiver
Shipping Weight: 12.8 ounces (View shipping rates and policies)
ASIN: B07S6446XZ
Average Customer Review:
39 customer reviews
Amazon Best Sellers Rank: #108,225 in Pet Supplies (See Top 100 in Pet Supplies)
#601 in Dog Training Collars
Product Warranty: For warranty information about this product, please click here
Would you like to tell us about a lower price?",74.0,1.0,ounce,12.8,1.0,7.0
5,https://www.amazon.com/dp/B07FJYWGQ7/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B07FJYWGQ7&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyRTlGUThEM0gzTUtMJmVuY3J5cHRlZElkPUEwNDUxNDkwN0UwRDkwR0hVRTg3JmVuY3J5cHRlZEFkSWQ9QTA0OTUxMjhVOEtMTFdaWTBZSDAmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,24.99,Vanleng Dog Training Collar with Remote 1800ft [Reflective Straps] Waterproof Rechargeable with Beep/Vibration/Electric Shock Modes for Small Medium Large Dogs (for 1 Dog),"【TIMELY&EFFECTIVE BEHAVIOR TRAINING COLLAR】 Pass the warning to your dog more timely and quickly, make your training more effective and professional. Immensely Popular E-Collar used by Expert Trainers & First Time Pet Owners; Can be used to help correct barking, walking, leash training, sitting, pee, aggression, and other behavioral obedience.
【100% WATER RESISTANT - IP67 LEVEL】Rechargeable receiver and transmitter. The receiver of the collar is waterproof - it works well even if immersed in water - so your dog can swim or bath freely with the collar on. The strap is adjustable, it fits all dogs, adjustable size: 3.93 inch~19.29 inch.
【1800ft REMOTE RANGE】Barrier free remote range up to 1800ft; make it easy to train your dog in both the park or backyard. Remote THROUGH-WALL design can stop your dog from barking even if you're in the other room.
【ADJUSTABLE THREE TRAINING MODES】Dog Shock Collar with 0-100 Levels of customization for Static Stimulation & Vibration, and a standard Tone (Beep) Mode, three types of stimulation make it guaranteed you will find a stimulation that works for your dog.
【REFLECTIVE STRAPS and PROTECTION MODE 】 The Nylon Collar is built with reflective bands, which will help to find your dogs in the dark. The max amount of time you can deliver the Vibration or Static Shock to your dog continuously is 10 seconds. After 10 seconds, the remote will go to protection mode. This will prevent the remote from being controled by mistaken when you don't know, causing a continuous vibration or shock to your dog. It's not humane. We do not suggest a over 10 second shock.",NA,74.0,1.0,ounce,2.0,2.0,2.0
6,https://www.amazon.com/dp/B0746SX4N9/ref=sspa_dk_detail_6?psc=1&pd_rd_i=B0746SX4N9&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyRTlGUThEM0gzTUtMJmVuY3J5cHRlZElkPUEwNDUxNDkwN0UwRDkwR0hVRTg3JmVuY3J5cHRlZEFkSWQ9QTA5MjUzNDgxNVlaWUpWS0VPU0RRJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,24.99,"Mockins 100% Waterproof and Rechargeable Electronic Remote Training Dog Collar | Shock Collar for Dogs with 990 ft Range E Collar, Beep and Vibration Easy to Use for Big, Medium and Small Dogs","🐶 The mockins Shock Collar is a great training tool for your dog. The dog bark collar can be used by first time trainers and professionals. The Dog Training collar is adjustable from 2' to 22"" and is perfect dog collars for large dogs , dog collars for medium dogs and shock collar for small dogs .
🐶 The dog training shock collar can be used to help with bark control , walking leash , behavioral obedience , training for sitting and more! No need to worry about your dog in the rain with the waterproof dog collar . With the large range of 330 yards you can easily train your dog in the park or back yard.
🐶 The Dog shock collar with remote has 100 levels of both static shocks stimulation and vibration . A standard beep tone mode give an audible warning which guarantees to have a stimulation that works for your dog.
⚠️ Warning: Only use the dog training collar with remote while you are supervising your pet - Do not leave the collar on when you are not around.
✅ ✅ LIFETIME SATISFACTION GUARANTEED : We are so sure you will be satisfied with the mockins trainig collar that we offer a Lifetime hassle-free replacement or money back guarantee. If you have any questions or concerns give us a call and we are happy to assist.",NA,74.0,1.0,ounce,7.6,1.8,6.0
7,https://www.amazon.com/dp/B07MDTYT6H/ref=sspa_dk_detail_7?psc=1&pd_rd_i=B07MDTYT6H&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyRTlGUThEM0gzTUtMJmVuY3J5cHRlZElkPUEwNDUxNDkwN0UwRDkwR0hVRTg3JmVuY3J5cHRlZEFkSWQ9QTA3MTM3MTUxWEtNVDIyQ1E1MFFHJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,24.99,"Mockins Set of 2 Collars | 100% Rainproof and Rechargeable Electronic Remote Training Dog Collar | Shock Collar for Dogs with 990 ft Range E Collar, Beep and Vibration for Big, Medium and Small Dog","🐶 The mockins Shock Collar is a great training tool for your dog. The dog bark collar can be used by first time trainers and professionals. The Dog Training collar 1 Black and 1 Red is adjustable from 2' to 22"" and is perfect dog collars for large dogs , dog collars for medium dogs and shock collar for small dogs .
🐶 The dog training shock collar can be used to help with bark control , walking leash , behavioral obedience , training for sitting and more! No need to worry about your dog in the rain with the mockins dog collar . With the large range of 330 yards you can easily train your dog in the park or back yard.
🐶 The Dog shock collar with remote has 100 levels of both static shocks stimulation and vibration . A standard beep tone mode give an audible warning which guarantees to have a stimulation that works for your dog.
⚠️ Warning: Only use the dog training collar with remote while you are supervising your pet - Do not leave the collar on when you are not around.
✅ ✅ LIFETIME SATISFACTION GUARANTEED : We are so sure you will be satisfied with the mockins trainig collar that we offer a Lifetime hassle-free replacement or money back guarantee. If you have any questions or concerns give us a call and we are happy to assist.",NA,74.0,1.0,ounce,2.0,2.0,2.0
8,https://www.amazon.com/Seresto-flea-collar-8-month-prevention/dp/B00B8CG602/ref=zg_bs_pet-supplies_18?_encoding=UTF8&psc=1&refRID=SAMZ7F3HYJ7Q6J3XXSEX,37.69,"Seresto Flea and Tick Collar for Dogs, 8-Month Tick and Flea Control for Dogs Over 18 lbs",,"Product information
Size:Dog- over 18 lb
Product Dimensions 4.8 x 4.8 x 1.5 inches
Item Weight 2.08 ounces
Shipping Weight 4.8 ounces (View shipping rates and policies)
Manufacturer Bayer Animal Health
ASIN B00B8CG602
Item model number 86030594
Customer Reviews
23,883 ratings
3.8 out of 5 stars
Best Sellers Rank #19 in Pet Supplies (See Top 100 in Pet Supplies)
#1 in Dog Flea Collars
Date first listed on Amazon January 28, 2013
Technical Specification
User Manual [pdf ]
Warranty & Support
Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service.
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",23883.0,4.8,ounces,18.0,4.8,4.800000000000001
9,https://www.amazon.com/dp/B0754HSX2Y/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B0754HSX2Y&pd_rd_w=oYePs&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=l0wRv&pf_rd_r=WZ8J28MWD0A1JD35X6KX&pd_rd_r=feca553b-454b-48f9-9fa0-7981dbde9ecb&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyT1BGQU1EWThENzZMJmVuY3J5cHRlZElkPUEwNjgwNTc0MVAzTFdTNUlTU1JVNSZlbmNyeXB0ZWRBZElkPUEwNDU1ODEwMjBMUFZKMVNPMDVQOCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,24.0,Hurtta Casual Padded Dog Collar,"NO TWO DOGS ARE THE SAME - Don’t guess on the size. Take proper measurements in the correct locations then compare your dog’s measurements to the size chart
SAFE - The safety and adjustability of Hurtta padded collars makes them an excellent choice. The safety lock mechanism is designed so the stress caused by pulling is not placed on the clip buckle
COMFORTABLE - By distributing the pressure caused by pulling across a larger area, the Neoprene-padded Hurtta collar softens the stress placed on the dog’s neck and throat area
NO CHAFE - The ergonomic collar does not chafe the dog’s neck thanks to soft Neoprene padding which also makes the collar machine washable
STRONG - The collar structure has allowed the extension of the padded section without compromising adjustability and improving the pulling strength of the collar","Product details
Color: Lingon | Size: 18-22""
Product Dimensions: 1.6 x 2.2 x 14.2 inches ; 3.36 ounces
Shipping Weight: 3.4 ounces (View shipping rates and policies)
ASIN: B0754HSX2Y
Item model number: HU932872
Average Customer Review:
5 customer reviews
Amazon Best Sellers Rank: #201,565 in Pet Supplies (See Top 100 in Pet Supplies)
#11447 in Basic Dog Collars
Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service.
Would you like to tell us about a lower price?",10.0,1.0,ounce,18.0,-22.0,1.6000000000000014
